@relation spiel-weka.filters.unsupervised.attribute.Remove-R2_predicted

@attribute Verein numeric
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute predictedreal_outcome {Sieg,Unentschieden,Niederlage}
@attribute real_outcome {Sieg,Unentschieden,Niederlage}

@data
46,23,3,2,3,1,1,Unentschieden,Unentschieden
28,11,3,4,2,1,2,Unentschieden,Unentschieden
34,32,4,4,1,1,3,Unentschieden,Unentschieden
48,17,3,6,1,2,2,Unentschieden,Unentschieden
17,24,2,8,3,0,2,Unentschieden,Unentschieden
17,20,5,5,3,2,0,Unentschieden,Unentschieden
41,25,5,6,1,2,2,Unentschieden,Unentschieden
16,24,5,5,4,1,0,Unentschieden,Unentschieden
49,30,1,4,2,3,0,Unentschieden,Unentschieden
33,16,4,0,1,3,1,Sieg,Unentschieden
28,10,3,4,3,1,1,Unentschieden,Unentschieden
29,24,3,1,1,1,3,Unentschieden,Unentschieden
11,8,2,5,2,3,0,Unentschieden,Unentschieden
42,4,8,2,0,3,0,Sieg,Unentschieden
2,6,9,3,0,5,0,Sieg,Unentschieden
52,4,1,4,2,0,1,Unentschieden,Unentschieden
13,27,4,4,1,2,2,Sieg,Unentschieden
50,7,3,6,1,0,4,Unentschieden,Unentschieden
12,8,6,3,1,2,2,Sieg,Unentschieden
24,4,1,1,1,1,1,Sieg,Unentschieden
56,11,4,9,4,1,0,Unentschieden,Unentschieden
49,34,1,1,0,1,4,Unentschieden,Unentschieden
22,18,5,0,0,3,2,Sieg,Unentschieden
26,28,1,3,2,1,2,Unentschieden,Unentschieden
33,19,1,6,2,2,1,Unentschieden,Unentschieden
30,16,4,1,1,3,1,Sieg,Unentschieden
26,14,4,0,2,2,1,Sieg,Niederlage
2,22,11,2,1,3,1,Sieg,Niederlage
12,28,7,6,1,3,1,Sieg,Niederlage
36,12,4,2,2,1,2,Unentschieden,Niederlage
31,24,6,4,1,2,2,Sieg,Niederlage
42,25,3,4,2,3,0,Unentschieden,Niederlage
25,16,11,1,0,3,2,Sieg,Niederlage
7,27,6,3,1,2,2,Sieg,Niederlage
11,7,6,4,2,3,0,Sieg,Niederlage
30,4,2,7,3,0,0,Unentschieden,Niederlage
55,28,5,4,3,2,0,Unentschieden,Niederlage
6,20,7,3,0,3,2,Sieg,Niederlage
15,23,3,10,5,0,0,Unentschieden,Niederlage
52,31,2,3,2,2,1,Unentschieden,Niederlage
32,7,5,2,1,2,2,Sieg,Niederlage
27,4,2,3,1,0,2,Unentschieden,Niederlage
13,16,6,14,3,1,1,Sieg,Niederlage
45,19,3,2,2,1,2,Unentschieden,Niederlage
49,6,5,8,3,2,0,Unentschieden,Niederlage
13,32,4,5,2,2,1,Unentschieden,Niederlage
12,10,4,4,0,1,4,Sieg,Niederlage
19,14,5,0,0,4,1,Sieg,Niederlage
55,24,1,5,4,1,0,Unentschieden,Niederlage
18,16,0,5,3,1,1,Unentschieden,Niederlage
36,19,2,6,5,0,0,Unentschieden,Niederlage
11,27,4,4,2,1,2,Unentschieden,Niederlage
22,34,7,6,0,2,3,Sieg,Niederlage
20,18,4,2,1,4,0,Sieg,Niederlage
47,19,4,3,1,3,1,Unentschieden,Niederlage
18,20,2,2,3,1,1,Unentschieden,Niederlage
48,16,5,2,0,2,3,Sieg,Niederlage
22,23,4,3,0,2,3,Sieg,Niederlage
22,25,6,2,1,2,2,Sieg,Niederlage
10,33,3,3,1,1,3,Sieg,Niederlage
9,12,4,5,3,1,1,Unentschieden,Niederlage
6,27,5,5,1,2,2,Sieg,Niederlage
15,11,5,5,0,1,4,Sieg,Niederlage
22,7,3,4,1,1,3,Unentschieden,Niederlage
18,26,4,4,1,1,3,Unentschieden,Niederlage
19,34,8,2,0,4,1,Sieg,Niederlage
18,6,1,7,4,0,1,Unentschieden,Niederlage
54,4,6,2,0,1,2,Sieg,Sieg
3,9,7,2,1,3,1,Sieg,Sieg
24,29,2,5,2,1,2,Unentschieden,Sieg
50,19,3,2,2,1,2,Unentschieden,Sieg
51,13,5,6,1,2,2,Unentschieden,Sieg
9,13,3,6,4,1,0,Unentschieden,Sieg
49,9,3,4,3,1,1,Unentschieden,Sieg
12,29,7,4,2,2,1,Sieg,Sieg
7,4,6,7,2,1,0,Sieg,Sieg
12,26,4,6,2,1,2,Unentschieden,Sieg
50,21,2,1,0,2,3,Unentschieden,Sieg
9,15,2,3,2,2,1,Unentschieden,Sieg
36,25,4,5,3,1,1,Unentschieden,Sieg
1,12,9,4,0,4,1,Sieg,Sieg
12,18,3,3,2,1,2,Unentschieden,Sieg
1,9,6,1,0,3,2,Sieg,Sieg
54,20,2,4,3,0,2,Unentschieden,Sieg
54,28,0,3,3,1,1,Unentschieden,Sieg
1,5,4,1,0,3,1,Sieg,Sieg
23,28,3,4,2,0,3,Unentschieden,Sieg
19,27,2,1,0,1,4,Sieg,Sieg
39,28,6,2,0,3,2,Sieg,Sieg
37,13,4,5,1,3,1,Unentschieden,Sieg
41,24,4,7,1,2,2,Unentschieden,Sieg
38,37,5,3,0,4,1,Sieg,Sieg
28,16,3,3,2,2,1,Unentschieden,Sieg
15,29,3,5,2,1,2,Unentschieden,Sieg
49,29,2,4,3,2,0,Unentschieden,Sieg
27,9,4,2,2,2,1,Unentschieden,Sieg
54,24,2,3,2,1,2,Unentschieden,Sieg
44,10,1,8,3,1,1,Unentschieden,Sieg
3,27,4,6,4,0,1,Unentschieden,Sieg
8,12,3,5,2,2,1,Unentschieden,Sieg
45,27,5,7,1,3,1,Unentschieden,Sieg
37,4,5,2,0,2,1,Sieg,Sieg
31,27,3,4,1,1,3,Unentschieden,Sieg
45,23,4,4,3,1,1,Unentschieden,Sieg
50,12,3,5,3,0,2,Unentschieden,Sieg
23,4,5,4,1,1,1,Unentschieden,Sieg
4,12,6,5,1,3,1,Sieg,Sieg
37,23,5,2,0,3,2,Sieg,Sieg
42,21,3,7,2,1,2,Unentschieden,Sieg
2,4,7,1,0,3,0,Sieg,Sieg
21,27,3,6,1,2,2,Unentschieden,Sieg
24,7,6,6,2,1,2,Unentschieden,Sieg
53,28,3,5,2,1,2,Unentschieden,Sieg
26,11,2,4,2,1,2,Unentschieden,Sieg
14,21,7,3,1,2,2,Sieg,Sieg
16,29,2,5,2,1,2,Unentschieden,Sieg
46,7,2,6,2,1,2,Unentschieden,Sieg
38,18,3,2,2,3,0,Unentschieden,Sieg
20,27,4,2,0,2,3,Sieg,Sieg
9,5,3,2,2,2,0,Unentschieden,Sieg
46,29,1,3,3,0,2,Unentschieden,Sieg
39,29,5,1,0,3,2,Sieg,Sieg
40,20,4,3,3,2,0,Unentschieden,Sieg
5,16,5,2,0,3,2,Sieg,Sieg
9,19,7,4,0,2,3,Sieg,Sieg
52,14,3,3,2,3,0,Unentschieden,Sieg
5,11,5,3,2,3,0,Sieg,Sieg
53,18,2,4,3,1,1,Unentschieden,Sieg
56,19,3,6,3,1,1,Unentschieden,Sieg
26,16,1,3,2,2,1,Unentschieden,Sieg
19,4,3,3,0,0,3,Sieg,Sieg
38,32,3,2,0,3,2,Sieg,Sieg
39,14,2,1,1,4,0,Sieg,Sieg
20,33,5,5,1,1,3,Unentschieden,Sieg
2,27,5,2,2,3,0,Sieg,Unentschieden
27,31,5,3,1,3,1,Sieg,Unentschieden
53,9,4,2,0,2,3,Sieg,Unentschieden
41,9,5,5,2,2,1,Unentschieden,Unentschieden
11,16,5,7,3,1,1,Unentschieden,Unentschieden
9,7,4,3,2,3,0,Sieg,Unentschieden
41,29,3,3,2,2,1,Unentschieden,Unentschieden
15,24,3,8,5,0,0,Unentschieden,Unentschieden
46,30,4,4,2,1,2,Unentschieden,Unentschieden
32,9,6,4,1,2,2,Sieg,Unentschieden
44,14,5,4,2,2,1,Unentschieden,Unentschieden
28,34,6,2,2,3,0,Sieg,Unentschieden
14,7,2,3,2,0,3,Unentschieden,Unentschieden
21,8,4,4,1,2,2,Sieg,Unentschieden
45,28,7,7,1,3,1,Sieg,Unentschieden
15,28,2,3,2,1,2,Unentschieden,Unentschieden
44,22,4,5,2,1,2,Unentschieden,Unentschieden
48,19,0,9,3,1,1,Unentschieden,Unentschieden
25,12,8,2,1,2,2,Sieg,Unentschieden
18,5,1,8,4,0,0,Unentschieden,Unentschieden
56,21,3,4,2,1,2,Unentschieden,Unentschieden
20,11,9,4,2,2,1,Sieg,Unentschieden
35,27,2,4,4,1,0,Unentschieden,Unentschieden
43,35,5,2,0,2,3,Sieg,Unentschieden
55,38,2,8,3,1,1,Unentschieden,Unentschieden
53,16,3,3,4,1,0,Unentschieden,Unentschieden
15,10,8,4,0,2,3,Sieg,Unentschieden
11,28,4,6,2,1,2,Unentschieden,Unentschieden
56,23,4,5,2,2,1,Unentschieden,Unentschieden
26,7,6,6,2,2,1,Unentschieden,Unentschieden
39,7,5,4,2,2,1,Unentschieden,Unentschieden
28,23,3,5,2,0,3,Unentschieden,Unentschieden
10,12,6,5,2,1,2,Sieg,Unentschieden
42,19,5,4,0,1,4,Sieg,Unentschieden
54,29,3,2,2,2,1,Unentschieden,Unentschieden
8,25,3,2,1,2,2,Sieg,Unentschieden
32,12,5,5,2,2,1,Unentschieden,Unentschieden
50,36,6,4,1,3,1,Sieg,Unentschieden
50,11,4,6,3,0,2,Unentschieden,Unentschieden
22,32,6,2,1,2,2,Sieg,Unentschieden
8,19,5,4,1,3,1,Sieg,Unentschieden
55,13,1,2,2,0,3,Unentschieden,Unentschieden
14,29,6,8,4,1,0,Unentschieden,Unentschieden
25,29,4,3,0,2,3,Sieg,Unentschieden
4,17,6,2,1,3,1,Sieg,Unentschieden
26,15,1,2,2,2,1,Unentschieden,Unentschieden
23,25,4,3,1,1,3,Sieg,Unentschieden
14,33,2,10,5,0,0,Unentschieden,Unentschieden
7,23,3,4,3,0,2,Unentschieden,Unentschieden
43,5,2,6,2,0,2,Unentschieden,Unentschieden
7,7,9,4,2,3,0,Sieg,Unentschieden
16,33,3,8,4,1,0,Unentschieden,Unentschieden
5,17,7,2,0,3,2,Sieg,Unentschieden
55,36,3,3,3,2,0,Unentschieden,Unentschieden
33,20,0,4,2,1,2,Unentschieden,Unentschieden
50,37,7,3,1,2,2,Sieg,Unentschieden
33,12,1,4,4,1,0,Unentschieden,Unentschieden
29,8,4,5,3,1,1,Unentschieden,Unentschieden
10,8,6,6,2,1,2,Sieg,Unentschieden
36,6,8,5,2,2,1,Sieg,Unentschieden
34,34,2,8,2,1,2,Unentschieden,Unentschieden
40,27,7,2,1,2,2,Sieg,Unentschieden
14,17,4,7,2,0,3,Unentschieden,Unentschieden
52,30,2,5,3,2,0,Unentschieden,Unentschieden
56,9,1,7,4,0,1,Unentschieden,Unentschieden
10,28,8,7,2,3,0,Sieg,Unentschieden
52,37,1,3,2,0,3,Unentschieden,Unentschieden
17,33,8,4,1,3,1,Sieg,Unentschieden
49,36,4,6,1,0,4,Unentschieden,Unentschieden
15,33,4,2,1,2,2,Sieg,Unentschieden
33,10,3,3,3,2,0,Unentschieden,Unentschieden
47,4,3,4,1,0,2,Unentschieden,Unentschieden
43,29,6,5,0,3,2,Sieg,Unentschieden
44,15,4,5,1,2,2,Unentschieden,Unentschieden
22,27,5,2,2,2,1,Unentschieden,Niederlage
17,34,6,6,2,2,1,Sieg,Niederlage
55,33,2,3,4,1,0,Unentschieden,Niederlage
11,21,6,4,2,2,1,Sieg,Niederlage
9,6,5,2,2,3,0,Sieg,Niederlage
13,10,4,4,1,1,3,Sieg,Niederlage
27,34,0,7,4,1,0,Unentschieden,Niederlage
36,30,1,4,2,2,1,Unentschieden,Niederlage
34,9,4,4,2,0,3,Unentschieden,Niederlage
32,17,5,7,3,1,1,Unentschieden,Niederlage
21,24,10,3,0,4,1,Sieg,Niederlage
3,29,6,5,2,1,2,Sieg,Niederlage
44,19,5,3,1,2,2,Unentschieden,Niederlage
50,10,4,7,3,0,2,Unentschieden,Niederlage
29,13,5,8,1,2,2,Unentschieden,Niederlage
32,29,2,5,2,2,1,Unentschieden,Niederlage
14,23,3,3,1,4,0,Sieg,Niederlage
8,10,5,2,1,2,2,Sieg,Niederlage
47,25,6,2,0,3,2,Sieg,Niederlage
55,37,4,3,3,1,1,Unentschieden,Niederlage
7,31,6,2,1,3,1,Sieg,Niederlage
12,12,3,7,2,0,3,Unentschieden,Niederlage
25,34,8,3,0,3,2,Sieg,Niederlage
23,15,1,4,1,2,2,Unentschieden,Niederlage
49,22,8,3,1,2,2,Sieg,Niederlage
38,6,5,2,0,3,2,Sieg,Niederlage
47,17,5,2,1,2,2,Unentschieden,Niederlage
10,24,12,5,0,3,2,Sieg,Niederlage
33,27,2,3,3,1,1,Unentschieden,Niederlage
20,20,5,5,2,3,0,Unentschieden,Niederlage
10,31,6,4,0,3,2,Sieg,Niederlage
47,9,6,4,2,3,0,Unentschieden,Niederlage
