@relation spiel

@attribute Verein numeric
@attribute Name string
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute real_outcome {Sieg, Unentschieden, Niederlage}

@data
12,'Eintracht Frankfurt',29,7,4,2,2,1,Sieg
12,'Eintracht Frankfurt',28,7,6,1,3,1,Niederlage
12,'Eintracht Frankfurt',27,7,7,1,2,2,Sieg
12,'Eintracht Frankfurt',26,4,6,2,1,2,Sieg
12,'Eintracht Frankfurt',25,3,2,1,2,2,Unentschieden
12,'Eintracht Frankfurt',24,2,5,2,2,1,Unentschieden
12,'Eintracht Frankfurt',23,3,4,2,2,1,Sieg
12,'Eintracht Frankfurt',22,3,9,2,2,1,Unentschieden
12,'Eintracht Frankfurt',21,4,5,1,3,1,Niederlage
12,'Eintracht Frankfurt',20,2,6,2,2,1,Sieg
12,'Eintracht Frankfurt',19,3,1,2,2,1,Niederlage
12,'Eintracht Frankfurt',18,3,3,2,1,2,Sieg
12,'Eintracht Frankfurt',17,2,4,3,1,1,Unentschieden
12,'Eintracht Frankfurt',16,4,7,4,0,1,Sieg
12,'Eintracht Frankfurt',15,3,6,4,0,1,Unentschieden
12,'Eintracht Frankfurt',14,4,6,3,0,2,Niederlage
12,'Eintracht Frankfurt',13,2,7,3,0,2,Unentschieden
12,'Eintracht Frankfurt',12,3,7,2,0,3,Niederlage
12,'Eintracht Frankfurt',11,3,6,1,0,4,Unentschieden
12,'Eintracht Frankfurt',10,4,4,0,1,4,Niederlage
12,'Eintracht Frankfurt',9,4,4,1,1,3,Unentschieden
12,'Eintracht Frankfurt',8,6,3,1,2,2,Unentschieden
12,'Eintracht Frankfurt',7,5,3,2,2,1,Unentschieden
12,'Eintracht Frankfurt',6,6,2,3,2,0,Unentschieden
12,'Eintracht Frankfurt',5,3,3,3,1,0,Sieg
12,'Eintracht Frankfurt',4,3,7,2,1,0,Unentschieden
13,'SV Werder Bremen',34,7,6,2,2,1,Niederlage
13,'SV Werder Bremen',33,5,9,2,2,1,Sieg
13,'SV Werder Bremen',32,4,5,2,2,1,Niederlage
13,'SV Werder Bremen',31,3,5,3,1,1,Sieg
13,'SV Werder Bremen',30,4,5,2,1,2,Niederlage
13,'SV Werder Bremen',29,4,7,2,2,1,Unentschieden
13,'SV Werder Bremen',28,3,7,2,2,1,Sieg
13,'SV Werder Bremen',27,4,4,1,2,2,Unentschieden
13,'SV Werder Bremen',26,4,1,0,2,3,Niederlage
13,'SV Werder Bremen',25,3,0,1,2,2,Unentschieden
13,'SV Werder Bremen',24,2,1,2,1,2,Sieg
13,'SV Werder Bremen',23,2,6,2,0,3,Sieg
13,'SV Werder Bremen',22,3,9,2,1,2,Unentschieden
13,'SV Werder Bremen',21,2,8,3,1,1,Unentschieden
13,'SV Werder Bremen',20,2,3,3,1,1,Unentschieden
13,'SV Werder Bremen',19,3,3,2,1,2,Niederlage
13,'SV Werder Bremen',18,3,10,3,1,1,Unentschieden
13,'SV Werder Bremen',17,6,14,4,0,1,Sieg
13,'SV Werder Bremen',16,6,14,3,1,1,Niederlage
13,'SV Werder Bremen',15,7,10,3,1,1,Unentschieden
13,'SV Werder Bremen',14,6,8,3,1,1,Unentschieden
13,'SV Werder Bremen',13,4,8,2,1,2,Unentschieden
13,'SV Werder Bremen',12,3,5,1,1,3,Niederlage
13,'SV Werder Bremen',11,1,4,1,1,3,Sieg
13,'SV Werder Bremen',10,4,4,1,1,3,Niederlage
13,'SV Werder Bremen',9,6,4,2,1,2,Unentschieden
13,'SV Werder Bremen',8,5,6,3,1,1,Unentschieden
13,'SV Werder Bremen',7,3,7,3,2,0,Unentschieden
13,'SV Werder Bremen',6,1,8,3,2,0,Sieg
13,'SV Werder Bremen',5,2,5,2,2,0,Unentschieden
13,'SV Werder Bremen',4,2,1,1,2,0,Niederlage
14,'1. FC Nürnberg',34,1,8,5,0,0,Niederlage
14,'1. FC Nürnberg',33,2,10,5,0,0,Unentschieden
14,'1. FC Nürnberg',32,2,10,4,1,0,Niederlage
14,'1. FC Nürnberg',31,3,9,4,1,0,Unentschieden
14,'1. FC Nürnberg',30,4,5,4,1,0,Niederlage
14,'1. FC Nürnberg',29,6,8,4,1,0,Unentschieden
14,'1. FC Nürnberg',28,5,7,4,1,0,Niederlage
14,'1. FC Nürnberg',27,3,9,4,1,0,Sieg
